z	Interpolated	Integral
0	1	NaN
0.0001	0.999954030230587	7.7015115293407E-05
0.0002	0.999908060461174	0.000154030230586814
0.0003	0.99986209069176	0.000231045345880221
0.0004	0.999816120922347	0.000308060461173628
0.0005	0.999770151152934	0.000385075576467035
0.0006	0.999724181383521	0.000462090691760442
0.0007	0.999678211614108	0.000539105807053849
0.0008	0.999632241844694	0.000616120922347256
0.0009	0.999586272075281	0.000693136037640663
0.001	0.999540302305868	0.00077015115293407
0.0011	0.999494332536455	0.000847166268227477
0.0012	0.999448362767042	0.000924181383520884
0.0013	0.999402392997629	0.00100119649881429
0.0014	0.999356423228215	0.0010782116141077
0.0015	0.999310453458802	0.0011552267294011
0.0016	0.999264483689389	0.00123224184469451
0.0017	0.999218513919976	0.00130925695998792
0.0018	0.999172544150563	0.00138627207528133
0.0019	0.999126574381149	0.00146328719057473
0.002	0.999080604611736	0.00154030230586814
0.0021	0.999034634842323	0.00161731742116155
0.0022	0.99898866507291	0.00169433253645495
0.0023	0.998942695303497	0.00177134765174836
0.0024	0.998896725534083	0.00184836276704177
0.0025	0.99885075576467	0.00192537788233517
0.0026	0.998804785995257	0.00200239299762858
0.0027	0.998758816225844	0.00207940811292199
0.0028	0.998712846456431	0.0021564232282154
0.0029	0.998666876687018	0.0022334383435088
0.003	0.998620906917604	0.00231045345880221
0.0031	0.998574937148191	0.00238746857409562
0.0032	0.998528967378778	0.00246448368938902
0.0033	0.998482997609365	0.00254149880468243
0.0034	0.998437027839952	0.00261851391997584
0.0035	0.998391058070539	0.00269552903526924
0.0036	0.998345088301125	0.00277254415056265
0.0037	0.998299118531712	0.00284955926585606
0.0038	0.998253148762299	0.00292657438114947
0.0039	0.998207178992886	0.00300358949644287
0.004	0.998161209223473	0.00308060461173628
0.0041	0.998115239454059	0.00315761972702969
0.0042	0.998069269684646	0.00323463484232309
0.0043	0.998023299915233	0.0033116499576165
0.0044	0.99797733014582	0.00338866507290991
0.0045	0.997931360376407	0.00346568018820331
0.0046	0.997885390606993	0.00354269530349672
0.0047	0.99783942083758	0.00361971041879013
0.0048	0.997793451068167	0.00369672553408354
0.0049	0.997747481298754	0.00377374064937694
0.005	0.997701511529341	0.00385075576467035
0.0051	0.997655541759928	0.00392777087996376
0.0052	0.997609571990514	0.00400478599525716
0.0053	0.997563602221101	0.00408180111055057
0.0054	0.997517632451688	0.00415881622584398
0.0055	0.997471662682275	0.00423583134113738
0.0056	0.997425692912862	0.00431284645643079
0.0057	0.997379723143448	0.0043898615717242
0.0058	0.997333753374035	0.00446687668701761
0.0059	0.997287783604622	0.00454389180231101
0.006	0.997241813835209	0.00462090691760442
0.0061	0.997195844065796	0.00469792203289783
0.0062	0.997149874296382	0.00477493714819123
0.0063	0.997103904526969	0.00485195226348464
0.0064	0.997057934757556	0.00492896737877805
0.0065	0.997011964988143	0.00500598249407145
0.0066	0.99696599521873	0.00508299760936486
0.0067	0.996920025449317	0.00516001272465827
0.0068	0.996874055679903	0.00523702783995168
0.0069	0.99682808591049	0.00531404295524508
0.007	0.996782116141077	0.00539105807053849
0.0071	0.996736146371664	0.0054680731858319
0.0072	0.996690176602251	0.0055450883011253
0.0073	0.996644206832837	0.00562210341641871
0.0074	0.996598237063424	0.00569911853171212
0.0075	0.996552267294011	0.00577613364700552
0.0076	0.996506297524598	0.00585314876229893
0.0077	0.996460327755185	0.00593016387759234
0.0078	0.996414357985771	0.00600717899288575
0.0079	0.996368388216358	0.00608419410817915
0.008	0.996322418446945	0.00616120922347256
0.0081	0.996276448677532	0.00623822433876597
0.0082	0.996230478908119	0.00631523945405937
0.0083	0.996184509138706	0.00639225456935278
0.0084	0.996138539369292	0.00646926968464619
0.0085	0.996092569599879	0.00654628479993959
0.0086	0.996046599830466	0.006623299915233
0.0087	0.996000630061053	0.00670031503052641
0.0088	0.99595466029164	0.00677733014581982
0.0089	0.995908690522226	0.00685434526111322
0.009	0.995862720752813	0.00693136037640663
0.0091	0.9958167509834	0.00700837549170004
0.0092	0.995770781213987	0.00708539060699344
0.0093	0.995724811444574	0.00716240572228685
0.0094	0.995678841675161	0.00723942083758026
0.0095	0.995632871905747	0.00731643595287366
0.0096	0.995586902136334	0.00739345106816707
0.0097	0.995540932366921	0.00747046618346048
0.0098	0.995494962597508	0.00754748129875388
0.0099	0.995448992828095	0.00762449641404729
0.01	0.995403023058681	0.0077015115293407
0.0101	0.995357053289268	0.00777852664463411
0.0102	0.995311083519855	0.00785554175992751
0.0103	0.995265113750442	0.00793255687522092
0.0104	0.995219143981029	0.00800957199051433
0.0105	0.995173174211615	0.00808658710580773
0.0106	0.995127204442202	0.00816360222110114
0.0107	0.995081234672789	0.00824061733639455
0.0108	0.995035264903376	0.00831763245168796
0.0109	0.994989295133963	0.00839464756698136
0.011	0.99494332536455	0.00847166268227477
0.0111	0.994897355595136	0.00854867779756818
0.0112	0.994851385825723	0.00862569291286158
0.0113	0.99480541605631	0.00870270802815499
0.0114	0.994759446286897	0.0087797231434484
0.0115	0.994713476517484	0.0088567382587418
0.0116	0.99466750674807	0.00893375337403521
0.0117	0.994621536978657	0.00901076848932862
0.0118	0.994575567209244	0.00908778360462202
0.0119	0.994529597439831	0.00916479871991543
0.012	0.994483627670418	0.00924181383520884
0.0121	0.994437657901004	0.00931882895050225
0.0122	0.994391688131591	0.00939584406579565
0.0123	0.994345718362178	0.00947285918108906
0.0124	0.994299748592765	0.00954987429638247
0.0125	0.994253778823352	0.00962688941167587
0.0126	0.994207809053939	0.00970390452696928
